virus_ID	Family	database	blast	deepac	dnabert	kNN	vibe	zoonotic_rank	Genus	Species	refseq.id	dataset	label	host_label
AB214880	Flaviviridae	GenBank	1.0	0.9950238410164328	0.9990792232401232	1.0	0.9970005364979014	0.9977124673128128	Flavivirus	Dengue virus	AB214880	past	1.0	1.0
AB214881	Flaviviridae	GenBank	1.0	0.99467394211713	0.999073557292714	1.0	0.9970234380048864	0.9977124673128128	Flavivirus	Dengue virus	AB214881	past	1.0	1.0
AB214882	Flaviviridae	GenBank	1.0	0.9950089005862964	0.9990821270381705	1.0	0.9969895019250756	0.9977124673128128	Flavivirus	Dengue virus	AB214882	past	1.0	1.0
AB262759	Flaviviridae	GenBank	0.0	0.0262039483871397	0.001872463555882	0.0	0.0039650772692808	0.9977124673128128	Flavivirus	Culex flavivirus	AB262759	past	0.0	0.0
AB377213	Flaviviridae	GenBank	0.0	0.0259576135878126	0.0017983459205594	0.0	0.0036945842297173	0.9977124673128128	Flavivirus	Culex flavivirus	AB377213	past	0.0	0.0
AB479041	Flaviviridae	GenBank	1.0	0.8574934763066909	0.9955984473228454	1.0	0.9961107120794408	0.9977124673128128	Flavivirus	Dengue virus	AB479041	past	0.0	0.0
AB479042	Flaviviridae	GenBank	0.0	0.6898246863309074	0.9828891599879546	0.1	0.9901173759909238	0.8989810758829117	Flavivirus	Dengue virus	AB479042	past	1.0	1.0
AB488408	Flaviviridae	GenBank	0.0	0.0365379181563515	0.0079514226851064	0.0	0.0338518460630439	0.9977124673128128	Flavivirus	Aedes flavivirus	AB488408	past	0.0	0.0
AB543624	Flaviviridae	GenBank	0.0	0.5825765191815621	0.9787924040195554	0.2	0.9917467929596124	0.9483261668682098	Flavivirus	Dengue virus	AB543624	past	1.0	1.0
AB551990	Flaviviridae	GenBank	0.0	0.0964614401402121	0.0687720133031358	0.0	0.0413819029054138	0.9977050000429152	Flavivirus	Orthoflavivirus japonicum	AB551990	past	0.0	0.0
AB551991	Flaviviridae	GenBank	0.0	0.0900959769028356	0.0624173265552662	0.0	0.0332669452737331	0.9977050000429152	Flavivirus	Orthoflavivirus japonicum	AB551991	past	0.0	0.0
AB551992	Flaviviridae	GenBank	0.0	0.0905099836146009	0.0621060335663436	0.0	0.0323039594256244	0.9977050000429152	Flavivirus	Orthoflavivirus japonicum	AB551992	past	0.0	0.0
AB594829	Flaviviridae	GenBank	0.0	0.0538433608652531	0.0164838026307159	0.0	0.010203369448213	0.9976972252130508	Flavivirus	Orthoflavivirus japonicum	AB594829	past	0.0	0.0
AB690460	Flaviviridae	GenBank	1.0	0.9640419459962224	0.992414524802914	1.0	0.931427976721293	0.9986092388629914	Hepacivirus	Hepacivirus C	AB690460	past	1.0	1.0
AB690461	Flaviviridae	GenBank	1.0	0.9527770609824688	0.9924751009259906	1.0	0.9286732711381728	0.9438463586568832	Hepacivirus	Hepacivirus C	AB690461	past	1.0	1.0
AB691764	Coronaviridae	GenBank	1.0	0.9997273850331612	0.9932523163731334	1.0	0.993143796903688	0.9179950559139252	Alphacoronavirus	Human coronavirus 229E	AB691764	past	1.0	1.0
AB691765	Coronaviridae	GenBank	1.0	0.9997108206836456	0.9939047693006706	1.0	0.9912082352803662	0.901066843867302	Alphacoronavirus	Human coronavirus 229E	AB691765	past	1.0	1.0
AB691766	Coronaviridae	GenBank	1.0	0.9997138561458764	0.9934292920152076	1.0	0.9937006920264232	0.904975562095642	Alphacoronavirus	Human coronavirus 229E	AB691766	past	1.0	1.0
AB691767	Coronaviridae	GenBank	1.0	0.999833443296065	0.9986825459594026	1.0	0.9993402941511312	0.8905670392513275	Alphacoronavirus	Human coronavirus 229E	AB691767	past	1.0	1.0
AB698905	Flaviviridae	GenBank	0.0	0.1710449993267826	0.0312610338575838	0.5	0.0269372166086245	0.6580369517207145	Flavivirus	Orthoflavivirus japonicum	AB698905	past	0.0	0.0
AB698906	Flaviviridae	GenBank	0.0	0.1702948067037538	0.0317785103013203	0.5	0.0270360314003566	0.6610820800065994	Flavivirus	Orthoflavivirus japonicum	AB698906	past	0.0	0.0
AB698907	Flaviviridae	GenBank	0.0	0.1707931073575184	0.0353122293553047	0.7	0.0271006859919249	0.8009328371286393	Flavivirus	Orthoflavivirus japonicum	AB698907	past	0.0	0.0
AB698908	Flaviviridae	GenBank	0.0	0.1708330779240049	0.0346771709075004	0.9	0.0265412924238534	0.8009328371286393	Flavivirus	Orthoflavivirus japonicum	AB698908	past	0.0	0.0
AB698909	Flaviviridae	GenBank	0.0	0.1711080949539425	0.032009648892429	0.8	0.0286677666409904	0.8022316920757294	Flavivirus	Orthoflavivirus japonicum	AB698909	past	0.0	0.0
AB701766	Flaviviridae	GenBank	0.0	0.0809041851221822	0.0043520935754248	0.0	0.0093715940402457	0.8180683720111847	Flavivirus	Culex flavivirus	AB701766	past	0.0	0.0
AB701767	Flaviviridae	GenBank	0.0	0.0804700039023923	0.0043550647435125	0.0	0.0094538186436524	0.8180683720111847	Flavivirus	Culex flavivirus	AB701767	past	0.0	0.0
AB701768	Flaviviridae	GenBank	0.0	0.0812660691133418	0.0043403419793236	0.0	0.0090336462365717	0.8180683720111847	Flavivirus	Culex flavivirus	AB701768	past	0.0	0.0
AB701769	Flaviviridae	GenBank	0.0	0.078480934540113	0.0040533974114263	0.0	0.0107641614984374	0.8180683720111847	Flavivirus	Culex flavivirus	AB701769	past	0.0	0.0
AB701770	Flaviviridae	GenBank	0.0	0.0777299183983962	0.0039924707244756	0.0	0.0091810764221685	0.8180683720111847	Flavivirus	Culex flavivirus	AB701770	past	0.0	0.0
AB701771	Flaviviridae	GenBank	0.0	0.0809190087886743	0.0043571550726652	0.0	0.0093805089367548	0.8185475146770478	Flavivirus	Culex flavivirus	AB701771	past	0.0	0.0
AB701772	Flaviviridae	GenBank	0.0	0.0776474117842871	0.0050724108004942	0.0	0.0136205999608433	0.9344688850641252	Flavivirus	Culex flavivirus	AB701772	past	0.0	0.0
AB701773	Flaviviridae	GenBank	0.0	0.0805973661197132	0.0043508393059181	0.0	0.009355829897009	0.9344688850641252	Flavivirus	Culex flavivirus	AB701773	past	0.0	0.0
AB701774	Flaviviridae	GenBank	0.0	0.0779537827881096	0.0040275201263707	0.0	0.0093829117151556	0.9344688850641252	Flavivirus	Culex flavivirus	AB701774	past	0.0	0.0
AB701775	Flaviviridae	GenBank	0.0	0.082479037907581	0.004308579415137	0.0	0.0108249825229164	0.9344688850641252	Flavivirus	Culex flavivirus	AB701775	past	0.0	0.0
AB701776	Flaviviridae	GenBank	0.0	0.0771917909232163	0.004671974716773	0.0	0.0090601984032451	0.9344688850641252	Flavivirus	Culex flavivirus	AB701776	past	0.0	0.0
AB753012	Flaviviridae	GenBank	0.0	0.3689511132039381	0.3329691855090387	0.9	0.2893091090379304	0.9606172704696656	Flavivirus	Tick-borne encephalitis virus	AB753012	past	0.0	0.0
AB779562	Flaviviridae	GenBank	1.0	0.999499655564626	0.998696764310201	1.0	0.9967600154876708	0.9990076053142548	Hepacivirus	Hepacivirus C	AB779562	past	1.0	1.0
AB779679	Flaviviridae	GenBank	1.0	0.9992553838094076	0.997941079934438	1.0	0.9942485245068868	0.99885946393013	Hepacivirus	Hepacivirus C	AB779679	past	1.0	1.0
AB795432	Flaviviridae	GenBank	1.0	0.9649824764240872	0.979483640039122	1.0	0.906763021507627	0.8606670141220093	Hepacivirus	Hepacivirus C	AB795432	past	1.0	1.0
AB828699	Flaviviridae	GenBank	1.0	0.9856835310592464	0.9990219999300806	1.0	0.9972576953862844	0.9984887266159056	Hepacivirus	Hepacivirus C	AB828699	past	1.0	1.0
AB828700	Flaviviridae	GenBank	1.0	0.9824762511018076	0.9993066042661668	1.0	0.9980402957451971	0.9983130073547364	Hepacivirus	Hepacivirus C	AB828700	past	1.0	1.0
AB828701	Flaviviridae	GenBank	1.0	0.9839081941662652	0.9993499886048468	1.0	0.9956665093961516	0.9985189712047576	Hepacivirus	Hepacivirus C	AB828701	past	1.0	1.0
AB830335	Flaviviridae	GenBank	0.0	0.166936158620078	0.0229616973725757	0.0	0.0221452401755591	0.9358704215288164	Flavivirus	Orthoflavivirus japonicum	AB830335	past	0.0	0.0
AB853904	Flaviviridae	GenBank	0.0	0.1724631353013817	0.0379316619993455	0.5	0.0255933665274374	0.9667998605966568	Flavivirus	Orthoflavivirus japonicum	AB853904	past	0.0	0.0
AB871953	Flaviviridae	GenBank	0.0	0.0241103330983457	0.0022852483867163	0.0	0.0020927171197919	0.9118493592739104	Pestivirus	Pestivirus H	AB871953	past	0.0	0.0
AB917088	Flaviviridae	GenBank	0.0	0.071107317551981	0.0017118909203087	0.0	0.0023734889943046	0.003069619227026	Flavivirus	Tembusu virus	AB917088	past	0.0	0.0
AB917089	Flaviviridae	GenBank	0.0	0.0712354806283573	0.0017021204032723	0.0	0.0024941527067725	0.0075046623102388	Flavivirus	Tembusu virus	AB917089	past	0.0	0.0
AB917090	Flaviviridae	GenBank	0.0	0.0735551591791298	0.0017085996210232	0.0	0.0025652358562674	0.0050319226898136	Flavivirus	Tembusu virus	AB917090	past	0.0	0.0
AF023424	Flaviviridae	GenBank	1.0	0.0450434251198251	0.1138518635309178	0.2	0.2776098196313557	0.9977124673128128	Pegivirus	Pegivirus A	AF023424	past	0.0	0.0
AF023425	Flaviviridae	GenBank		0.0438579138997313	0.1574428313186501	0.3	0.1562975806572668	0.9977124673128128	Pegivirus	Pegivirus A	AF023425	past	0.0	0.0
AF098735	Flaviviridae	GenBank	0.0	0.1057773188857192	0.0694642429139507	0.2	0.0457051192100731	0.9977124673128128	Flavivirus	Orthoflavivirus japonicum	AF098735	past	0.0	0.0
AF098736	Flaviviridae	GenBank	0.0	0.099245138762688	0.0712465455713258	0.2	0.0493595751143981	0.9977124673128128	Flavivirus	Orthoflavivirus japonicum	AF098736	past	0.0	0.0
AF098737	Flaviviridae	GenBank	0.0	0.0963606163436038	0.0700319702498911	0.2	0.0356986643144575	0.9977124673128128	Flavivirus	Orthoflavivirus japonicum	AF098737	past	0.0	0.0
AF144617	Flaviviridae	GenBank	0.0	0.0303490130728719	0.0102612586515623	0.0	0.0019137292568996	0.9977124673128128	Pestivirus	Pestivirus G	AF144617	past	0.0	0.0
AF144618	Flaviviridae	GenBank	0.0	0.0273772997791137	0.0013857940069342	0.0	0.0015844879351195	0.9977124673128128	Pestivirus	Pestivirus D	AF144618	past	0.0	0.0
AF206518	Flaviviridae	GenBank	0.0	0.0357366732999005	0.0027074569846842	0.0	0.0031824508319418	0.9977124673128128	Flavivirus	West Nile virus	AF206518	past	0.0	0.0
AF208496	Flaviviridae	GenBank	1.0	0.8324651648016537	0.9949212375809164	1.0	0.9958254856221816	0.9977124673128128	Flavivirus	Dengue virus	AF208496	past	1.0	1.0
AF254452	Flaviviridae	GenBank	0.0	0.1133618506806335	0.0862275508671313	0.2	0.0373975255060941	0.9977124673128128	Flavivirus	Orthoflavivirus japonicum	AF254452	past	0.0	0.0
AF254453	Flaviviridae	GenBank	0.0	0.1139665874170846	0.0861920473412021	0.2	0.0377832064097319	0.9977124673128128	Flavivirus	Orthoflavivirus japonicum	AF254453	past	0.0	0.0
AF260967	Flaviviridae	GenBank	0.0	0.0311658109474757	0.0014164362225776	0.0	0.0010835917941717	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	AF260967	past	0.0	0.0
AF260969	Flaviviridae	GenBank	0.0	0.2367079311304471	0.2776865233476697	0.4	0.0569243945058339	0.9977124673128128	Flavivirus	West Nile virus	AF260969	past	0.0	0.0
AF290978	Flaviviridae	GenBank	1.0	0.9999992370605468	0.9991873176892598	1.0	0.9981947954495748	0.9977124673128128	Hepacivirus	Hepacivirus C	AF290978	past	0.0	0.0
AF311956	Flaviviridae	GenBank	1.0	0.975624785173771	0.9990328682023424	1.0	0.9974916161492814	0.9977124673128128	Flavivirus	Dengue virus	AF311956	past	1.0	1.0
AF311957	Flaviviridae	GenBank	1.0	0.9759953437849532	0.9990342384160952	1.0	0.9974521717359852	0.9977124673128128	Flavivirus	Dengue virus	AF311957	past	1.0	1.0
AF311958	Flaviviridae	GenBank	1.0	0.9757845235425372	0.9990280000276344	1.0	0.9974179967891338	0.9977124673128128	Flavivirus	Dengue virus	AF311958	past	1.0	1.0
AF404753	Flaviviridae	GenBank	0.0	0.0319113674764098	0.001973774892659	0.0	0.0011890746543279	0.9977124673128128	Flavivirus	West Nile virus	AF404753	past	0.0	0.0
AF404754	Flaviviridae	GenBank	0.0	0.0314548145238818	0.0015084390675342	0.0	0.0010867800804341	0.9977124673128128	Flavivirus	West Nile virus	AF404754	past	0.0	0.0
AF404755	Flaviviridae	GenBank	0.0	0.0295836779246614	0.0011607247797655	0.0	0.0011105272483705	0.9977124673128128	Flavivirus	West Nile virus	AF404755	past	0.0	0.0
AF404756	Flaviviridae	GenBank	0.0	0.0316258399980142	0.0014365966556149	0.0	0.0013338998284201	0.9977124673128128	Flavivirus	West Nile virus	AF404756	past	0.0	0.0
AF404757	Flaviviridae	GenBank	1.0	0.2622261808507822	0.308599100141278	1.0	0.0767236805847708	0.9977124673128128	Flavivirus	West Nile virus	AF404757	past	0.0	0.0
AF481864	Flaviviridae	GenBank	0.0	0.0317985584790056	0.0017001771682936	0.0	0.0011263743230797	0.9977124673128128	Flavivirus	West Nile virus	AF481864	past	0.0	0.0
AJ585412	Flaviviridae	GenBank	0.0	0.0220312323630312	0.0009683615294028	0.0	0.0053775484289983	0.9977124673128128	Pestivirus	Pestivirus A	AJ585412	past	0.0	0.0
AM910652	Flaviviridae	GenBank	1.0	0.9688920449269446	0.9975068169204812	1.0	0.9815529404502166	0.8325778612494469	Hepacivirus	Hepacivirus C	AM910652	past	1.0	1.0
AY277251	Flaviviridae	GenBank	0.0	0.0801642691326695	0.085594335905287	0.2	0.078843443831131	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	AY277251	past	0.0	0.0
AY453412	Flaviviridae	GenBank	0.0	0.0308773457601835	0.0012278593924499	0.0	0.0025176139805063	0.9977124673128128	Flavivirus	Usutu virus	AY453412	past	0.0	0.0
AY632535	Flaviviridae	GenBank	0.0	0.0489136055761645	0.0221979913212423	0.0	0.2047626819477828	0.9977124673128128	Flavivirus	Orthoflavivirus zikaense	AY632535	past	0.0	0.0
AY632540	Flaviviridae	GenBank	0.0	0.0493512899560086	0.1109277205925215	0.5	0.1047666978214264	0.9977124673128128	Flavivirus	Kedougou virus	AY632540	past	0.0	0.0
AY632545	Flaviviridae	GenBank	0.0	0.0323288845776141	0.0027107926160525	0.0	0.0079101050532176	0.9977124673128128	Flavivirus	Orthoflavivirus bagazaense	AY632545	past	0.0	0.0
AY646354	Flaviviridae	GenBank	0.0	0.0294733455256474	0.0010913269407782	0.0	0.0011683449364764	0.9977124673128128	Flavivirus	West Nile virus	AY646354	past	1.0	1.0
AY712945	Flaviviridae	GenBank	0.0	0.0295144515217874	0.0011401697265682	0.0	0.0010605412350163	0.9977124673128128	Flavivirus	West Nile virus	AY712945	past	0.0	0.0
AY712946	Flaviviridae	GenBank	0.0	0.0299220478945327	0.0011395262064814	0.0	0.001088688240667	0.9977124673128128	Flavivirus	West Nile virus	AY712946	past	0.0	0.0
AY712948	Flaviviridae	GenBank	0.0	0.0287100528261031	0.0012528501578014	0.0	0.0011715606987391	0.9977124673128128	Flavivirus	West Nile virus	AY712948	past	0.0	0.0
AY744677	Flaviviridae	GenBank	1.0	0.9975876085898456	0.9990802323116976	1.0	0.9973059429841884	0.9977124673128128	Flavivirus	Dengue virus	AY744677	past	1.0	1.0
AY744678	Flaviviridae	GenBank	1.0	0.9974487592192256	0.999076368528254	1.0	0.9972923902904286	0.9977124673128128	Flavivirus	Dengue virus	AY744678	past	1.0	1.0
AY744679	Flaviviridae	GenBank	1.0	0.9974470033365136	0.9990787492078892	1.0	0.9972950928351458	0.9977124673128128	Flavivirus	Dengue virus	AY744679	past	1.0	1.0
AY744680	Flaviviridae	GenBank	1.0	0.9975875602048986	0.9990780080066008	1.0	0.997307892406688	0.9977124673128128	Flavivirus	Dengue virus	AY744680	past	1.0	1.0
AY744681	Flaviviridae	GenBank	1.0	0.9972980548353756	0.9990729633499594	1.0	0.9972873568534852	0.9977124673128128	Flavivirus	Dengue virus	AY744681	past	1.0	1.0
AY744682	Flaviviridae	GenBank	1.0	0.9972603419247796	0.9990786882007824	1.0	0.9973089723026052	0.9977124673128128	Flavivirus	Dengue virus	AY744682	past	1.0	1.0
AY744683	Flaviviridae	GenBank	1.0	0.9972895545117996	0.9990740523618812	1.0	0.9973376736921422	0.9977124673128128	Flavivirus	Dengue virus	AY744683	past	1.0	1.0
AY744684	Flaviviridae	GenBank	1.0	0.9973268046098596	0.9990784631055944	1.0	0.9973072472740622	0.9977124673128128	Flavivirus	Dengue virus	AY744684	past	1.0	1.0
AY744685	Flaviviridae	GenBank	1.0	0.9968568780842948	0.9990762549288132	1.0	0.9973129559965694	0.9977124673128128	Flavivirus	Dengue virus	AY744685	past	1.0	1.0
AY765264	Flaviviridae	GenBank	1.0	0.0886823752488213	0.0709326916170873	0.0	0.0848504351840044	0.9977124673128128	Flavivirus	West Nile virus	AY765264	past	0.0	0.0
AY781152	Flaviviridae	GenBank	1.0	0.029686915845021	0.03106677645404	0.0	0.0025042742746169	0.9977124673128128	Pestivirus	Pestivirus E	AY781152	past	0.0	0.0
AY835999	Flaviviridae	GenBank	1.0	0.9991246247014334	0.999159637578698	1.0	0.9976865898731144	0.9977124673128128	Flavivirus	Dengue virus	AY835999	past	1.0	1.0
AY858035	Flaviviridae	GenBank	1.0	0.9566207808606764	0.9975611132733962	1.0	0.997301989443162	0.9977124673128128	Flavivirus	Dengue virus	AY858035	past	1.0	1.0
AY858036	Flaviviridae	GenBank	1.0	0.959628518188701	0.9976499585544362	1.0	0.9971750673125772	0.9977124673128128	Flavivirus	Dengue virus	AY858036	past	1.0	1.0
AY858037	Flaviviridae	GenBank	1.0	0.9951982848784504	0.9990760915419634	1.0	0.9971840956631828	0.9977124673128128	Flavivirus	Dengue virus	AY858037	past	1.0	1.0
AY858038	Flaviviridae	GenBank	1.0	0.9953835452304168	0.999098868931041	1.0	0.997224918533774	0.9977124673128128	Flavivirus	Dengue virus	AY858038	past	1.0	1.0
AY858039	Flaviviridae	GenBank	1.0	0.9965809927267186	0.999067319841946	1.0	0.9971803181311664	0.9977124673128128	Flavivirus	Dengue virus	AY858039	past	1.0	1.0
AY858040	Flaviviridae	GenBank	1.0	0.99588361417546	0.9990691521588494	1.0	0.9971607720150668	0.9977124673128128	Flavivirus	Dengue virus	AY858040	past	1.0	1.0
AY858041	Flaviviridae	GenBank	1.0	0.9964600759394028	0.999047937112696	1.0	0.9971394019968368	0.9977124673128128	Flavivirus	Dengue virus	AY858041	past	1.0	1.0
AY858042	Flaviviridae	GenBank	1.0	0.9942014904583202	0.9990722305634444	1.0	0.9970220923423768	0.9977124673128128	Flavivirus	Dengue virus	AY858042	past	1.0	1.0
AY858043	Flaviviridae	GenBank	1.0	0.9954020605367772	0.9990548056714676	1.0	0.9970432849491344	0.9977124673128128	Flavivirus	Dengue virus	AY858043	past	1.0	1.0
AY858044	Flaviviridae	GenBank	1.0	0.995840128029094	0.9990713834762572	1.0	0.9969967484474184	0.9977124673128128	Flavivirus	Dengue virus	AY858044	past	1.0	1.0
AY858045	Flaviviridae	GenBank	1.0	0.9961301957859712	0.999067375940435	1.0	0.9969991403467516	0.9977124673128128	Flavivirus	Dengue virus	AY858045	past	1.0	1.0
AY858046	Flaviviridae	GenBank	1.0	0.9956776625969832	0.9990691220059116	1.0	0.9969801362823038	0.9977124673128128	Flavivirus	Dengue virus	AY858046	past	1.0	1.0
AY858047	Flaviviridae	GenBank	1.0	0.9954111155341652	0.999077027685502	1.0	0.9970061989391552	0.9977124673128128	Flavivirus	Dengue virus	AY858047	past	1.0	1.0
AY858048	Flaviviridae	GenBank	1.0	0.994458264463088	0.999069540640887	1.0	0.9970770050497616	0.9977124673128128	Flavivirus	Dengue virus	AY858048	past	1.0	1.0
AY876494	Flaviviridae	GenBank	1.0	0.9978054832009708	0.9990874276441686	1.0	0.9972735131488129	0.9977124673128128	Flavivirus	Dengue virus	AY876494	past	1.0	1.0
AY947539	Flaviviridae	GenBank	1.0	0.9284465151674608	0.9973401833983028	1.0	0.9910490162232344	0.9977124673128128	Flavivirus	Dengue virus	AY947539	past	1.0	1.0
AY968064	Flaviviridae	GenBank	1.0	0.7438566660465196	0.9598564495180928	1.0	0.7505906475491302	0.9977124673128128	Flavivirus	Orthoflavivirus flavi	AY968064	past	1.0	1.0
AY968065	Flaviviridae	GenBank	1.0	0.2588546030916447	0.6179153189322976	1.0	0.3357790658266695	0.9977124673128128	Flavivirus	Orthoflavivirus flavi	AY968065	past	1.0	1.0
BK013349	Flaviviridae	GenBank		0.1207579715630492	0.1206049692968057	0.0	0.1174069751308903	0.0252092113674409	Hepacivirus	Bat hepacivirus	BK013349	future	0.0	0.0
BS007339	sarbecovirus	GenBank		0.2474081121918361	0.0633807272188251	0.06	0.0246649064159215	0.0604378320151537	CoV2-related	Japan/SZ-NIG-Y230021/2023	BS007339	future	1.0	1.0
BS007341	sarbecovirus	GenBank		0.2642916473874449	0.066119808604709	0.08	0.0339041725051747	0.0735500799371528	CoV2-related	Japan/SZ-NIG-Y230023/2023	BS007341	future	1.0	1.0
BS007342	sarbecovirus	GenBank		0.2513423292573309	0.0712136845759786	0.08	0.0336570090492708	0.062935460086166	CoV2-related	Japan/SZ-NIG-Y230024/2023	BS007342	future	1.0	1.0
BS007388	sarbecovirus	GenBank		0.2580982463744475	0.051444221113376	0.06	0.0249235543458108	0.0248218457974675	CoV2-related	Japan/PG-549982/2023	BS007388	future	1.0	1.0
BS007463	sarbecovirus	GenBank		0.2599051481949369	0.065216296663395	0.08	0.0279615797221801	0.0716978374763387	CoV2-related	Japan/PG-557813/2023	BS007463	future	1.0	1.0
BS007584	sarbecovirus	GenBank		0.2590342657849465	0.079212772360966	0.08	0.029208874380575	0.0464844371652594	CoV2-related	Japan/PG-570058/2023	BS007584	future	1.0	1.0
BS007678	sarbecovirus	GenBank		0.2542264074724847	0.0611863712311691	0.08	0.0253052519691714	0.0594614611219736	CoV2-related	Japan/PG-573485/2023	BS007678	future	1.0	1.0
DQ066423	Flaviviridae	GenBank	0.0	0.0308310062603347	0.001421290235488	0.0	0.0011807031584215	0.9977124673128128	Flavivirus	West Nile virus	DQ066423	past	0.0	0.0
DQ116961	Flaviviridae	GenBank	0.0	0.4192340611056848	0.6027580255811865	0.9	0.4285094638101079	0.9977124673128128	Flavivirus	West Nile virus	DQ116961	past	0.0	0.0
DQ118127	Flaviviridae	GenBank	0.0	0.0370181879649559	0.0060385057459125	0.0	0.0015309746169763	0.9977124673128128	Flavivirus	West Nile virus	DQ118127	past	0.0	0.0
DQ164186	Flaviviridae	GenBank	0.0	0.0290582550964741	0.0011093484645243	0.0	0.0010818448261654	0.9977124673128128	Flavivirus	West Nile virus	DQ164186	past	0.0	0.0
DQ164187	Flaviviridae	GenBank	0.0	0.0318364527139982	0.001152607925178	0.0	0.0011253666346998	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164187	past	0.0	0.0
DQ164188	Flaviviridae	GenBank	0.0	0.0325082268311896	0.0029206465888736	0.0	0.0012852588545435	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164188	past	0.0	0.0
DQ164189	Flaviviridae	GenBank	0.0	0.0291421025864441	0.0010984688137382	0.0	0.0011245834407005	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164189	past	0.0	0.0
DQ164190	Flaviviridae	GenBank	0.0	0.0298958719940856	0.001691179121818	0.0	0.0012980105291882	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164190	past	0.0	0.0
DQ164191	Flaviviridae	GenBank	0.0	0.0285606481960381	0.0030574757038266	0.0	0.0010749933036012	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164191	past	0.0	0.0
DQ164192	Flaviviridae	GenBank	0.0	0.0316752911947498	0.0011701383416286	0.0	0.0011706968884523	0.9977124673128128	Flavivirus	West Nile virus	DQ164192	past	0.0	0.0
DQ164193	Flaviviridae	GenBank	0.0	0.0288714951602742	0.0010836852399568	0.0	0.0010567332150954	0.9977124673128128	Flavivirus	Orthoflavivirus nilense	DQ164193	past	0.0	0.0
