,UniversalName,Strain,Accessions,WholeGenome,InfectsHumans,fold
89,OR268739,OR268739,OR268739,1,FALSE,test
90,OR268740,OR268740,OR268740,1,FALSE,test
91,OR268741,OR268741,OR268741,1,FALSE,test
96,OR268746,OR268746,OR268746,1,FALSE,test
97,OR268747,OR268747,OR268747,1,FALSE,test
98,OR268748,OR268748,OR268748,1,FALSE,test
100,OR268750,OR268750,OR268750,1,FALSE,test
108,ON075821,ON075821,ON075821,1,FALSE,test
154,OQ230639,OQ230639,OQ230639,1,FALSE,test
194,OR230676,OR230676,OR230676,1,FALSE,test
202,OR050545,OR050545,OR050545,1,FALSE,test
203,OR050546,OR050546,OR050546,1,FALSE,test
207,OR050550,OR050550,OR050550,1,FALSE,test
209,OR050552,OR050552,OR050552,1,FALSE,test
210,OR050553,OR050553,OR050553,1,FALSE,test
213,OR050556,OR050556,OR050556,1,FALSE,test
214,OR050557,OR050557,OR050557,1,FALSE,test
217,OR050560,OR050560,OR050560,1,FALSE,test
218,OR050561,OR050561,OR050561,1,FALSE,test
219,OR050562,OR050562,OR050562,1,FALSE,test
241,OR427311,OR427311,OR427311,1,FALSE,test
242,ON262797,ON262797,ON262797,1,FALSE,test
247,OR001749,OR001749,OR001749,1,FALSE,test
248,OQ175021,OQ175021,OQ175021,1,FALSE,test
251,OQ175024,OQ175024,OQ175024,1,FALSE,test
252,OQ175025,OQ175025,OQ175025,1,FALSE,test
256,OQ175029,OQ175029,OQ175029,1,FALSE,test
257,OQ175030,OQ175030,OQ175030,1,FALSE,test
258,OQ175031,OQ175031,OQ175031,1,FALSE,test
259,OQ175032,OQ175032,OQ175032,1,FALSE,test
265,OQ175038,OQ175038,OQ175038,1,FALSE,test
266,OQ175039,OQ175039,OQ175039,1,FALSE,test
267,OQ175040,OQ175040,OQ175040,1,FALSE,test
268,OQ175041,OQ175041,OQ175041,1,FALSE,test
269,OQ175042,OQ175042,OQ175042,1,FALSE,test
274,OQ175047,OQ175047,OQ175047,1,FALSE,test
275,OQ175048,OQ175048,OQ175048,1,FALSE,test
280,OQ175053,OQ175053,OQ175053,1,FALSE,test
281,OQ175054,OQ175054,OQ175054,1,FALSE,test
282,OQ175055,OQ175055,OQ175055,1,FALSE,test
294,OQ175067,OQ175067,OQ175067,1,FALSE,test
296,OQ175069,OQ175069,OQ175069,1,FALSE,test
297,OQ175070,OQ175070,OQ175070,1,FALSE,test
298,OQ175071,OQ175071,OQ175071,1,FALSE,test
299,OQ175072,OQ175072,OQ175072,1,FALSE,test
300,OQ175073,OQ175073,OQ175073,1,FALSE,test
301,OQ175074,OQ175074,OQ175074,1,FALSE,test
302,OQ175075,OQ175075,OQ175075,1,FALSE,test
303,OQ175076,OQ175076,OQ175076,1,FALSE,test
304,OQ175077,OQ175077,OQ175077,1,FALSE,test
305,OQ175078,OQ175078,OQ175078,1,FALSE,test
306,OQ175079,OQ175079,OQ175079,1,FALSE,test
310,OQ175083,OQ175083,OQ175083,1,FALSE,test
311,OQ175084,OQ175084,OQ175084,1,FALSE,test
315,OQ175088,OQ175088,OQ175088,1,FALSE,test
316,OQ175089,OQ175089,OQ175089,1,FALSE,test
317,OQ175090,OQ175090,OQ175090,1,FALSE,test
318,OQ175091,OQ175091,OQ175091,1,FALSE,test
319,OQ175092,OQ175092,OQ175092,1,FALSE,eval
320,OQ175093,OQ175093,OQ175093,1,FALSE,train
321,OQ175094,OQ175094,OQ175094,1,FALSE,eval
322,OQ175095,OQ175095,OQ175095,1,FALSE,train
325,OQ175098,OQ175098,OQ175098,1,FALSE,train
331,OQ175104,OQ175104,OQ175104,1,FALSE,train
332,OQ175105,OQ175105,OQ175105,1,FALSE,train
333,OQ175106,OQ175106,OQ175106,1,FALSE,train
334,OQ175107,OQ175107,OQ175107,1,FALSE,train
337,OQ175110,OQ175110,OQ175110,1,FALSE,train
338,OQ175111,OQ175111,OQ175111,1,FALSE,train
339,OQ175112,OQ175112,OQ175112,1,FALSE,train
340,OQ175113,OQ175113,OQ175113,1,FALSE,train
341,OQ175114,OQ175114,OQ175114,1,FALSE,train
344,OQ175117,OQ175117,OQ175117,1,FALSE,train
346,OQ175119,OQ175119,OQ175119,1,FALSE,train
347,OQ175120,OQ175120,OQ175120,1,FALSE,eval
348,OQ175121,OQ175121,OQ175121,1,FALSE,train
349,OQ175122,OQ175122,OQ175122,1,FALSE,train
350,OQ175123,OQ175123,OQ175123,1,FALSE,train
353,OQ175126,OQ175126,OQ175126,1,FALSE,train
354,OQ175127,OQ175127,OQ175127,1,FALSE,train
355,OQ175128,OQ175128,OQ175128,1,FALSE,train
360,OQ175133,OQ175133,OQ175133,1,FALSE,train
361,OQ175134,OQ175134,OQ175134,1,FALSE,train
362,OQ175135,OQ175135,OQ175135,1,FALSE,train
364,OQ175137,OQ175137,OQ175137,1,FALSE,train
365,OQ175138,OQ175138,OQ175138,1,FALSE,train
366,OQ175139,OQ175139,OQ175139,1,FALSE,train
371,OQ175144,OQ175144,OQ175144,1,FALSE,train
372,OQ175145,OQ175145,OQ175145,1,FALSE,train
373,OQ175146,OQ175146,OQ175146,1,FALSE,train
374,OQ175147,OQ175147,OQ175147,1,FALSE,train
375,OQ175148,OQ175148,OQ175148,1,FALSE,train
376,OQ175149,OQ175149,OQ175149,1,FALSE,train
377,OQ175150,OQ175150,OQ175150,1,FALSE,eval
379,OQ175152,OQ175152,OQ175152,1,FALSE,train
382,OQ175155,OQ175155,OQ175155,1,FALSE,eval
388,OQ175161,OQ175161,OQ175161,1,FALSE,eval
389,OQ175162,OQ175162,OQ175162,1,FALSE,train
390,OQ175163,OQ175163,OQ175163,1,FALSE,train
391,OQ175164,OQ175164,OQ175164,1,FALSE,eval
410,OQ175183,OQ175183,OQ175183,1,FALSE,train
411,OQ175184,OQ175184,OQ175184,1,FALSE,train
412,OQ175185,OQ175185,OQ175185,1,FALSE,eval
413,OQ175186,OQ175186,OQ175186,1,FALSE,train
414,OQ175187,OQ175187,OQ175187,1,FALSE,train
415,OQ175188,OQ175188,OQ175188,1,FALSE,train
416,OQ175189,OQ175189,OQ175189,1,FALSE,train
417,OQ175190,OQ175190,OQ175190,1,FALSE,train
419,OQ175192,OQ175192,OQ175192,1,FALSE,train
420,OQ175193,OQ175193,OQ175193,1,FALSE,train
421,OQ175194,OQ175194,OQ175194,1,FALSE,train
422,OQ175195,OQ175195,OQ175195,1,FALSE,eval
423,OQ175196,OQ175196,OQ175196,1,FALSE,train
425,OQ175198,OQ175198,OQ175198,1,FALSE,eval
426,OQ175199,OQ175199,OQ175199,1,FALSE,eval
430,OQ175203,OQ175203,OQ175203,1,FALSE,train
431,OQ175204,OQ175204,OQ175204,1,FALSE,train
434,OQ175207,OQ175207,OQ175207,1,FALSE,train
435,OQ175208,OQ175208,OQ175208,1,FALSE,train
436,OQ175209,OQ175209,OQ175209,1,FALSE,train
439,OQ175212,OQ175212,OQ175212,1,FALSE,eval
440,OQ175213,OQ175213,OQ175213,1,FALSE,eval
443,OQ175216,OQ175216,OQ175216,1,FALSE,train
453,OQ175226,OQ175226,OQ175226,1,FALSE,train
454,OQ175227,OQ175227,OQ175227,1,FALSE,train
455,OQ175228,OQ175228,OQ175228,1,FALSE,train
456,OQ175229,OQ175229,OQ175229,1,FALSE,eval
457,OQ175230,OQ175230,OQ175230,1,FALSE,train
458,OQ175231,OQ175231,OQ175231,1,FALSE,train
459,OQ175232,OQ175232,OQ175232,1,FALSE,train
462,OQ175235,OQ175235,OQ175235,1,FALSE,train
463,OQ175236,OQ175236,OQ175236,1,FALSE,train
464,OQ175237,OQ175237,OQ175237,1,FALSE,eval
465,OQ175238,OQ175238,OQ175238,1,FALSE,eval
468,OQ175241,OQ175241,OQ175241,1,FALSE,train
469,OQ175242,OQ175242,OQ175242,1,FALSE,train
470,OQ175243,OQ175243,OQ175243,1,FALSE,eval
472,OQ175245,OQ175245,OQ175245,1,FALSE,train
473,OQ175246,OQ175246,OQ175246,1,FALSE,train
475,OQ175248,OQ175248,OQ175248,1,FALSE,train
480,OQ175253,OQ175253,OQ175253,1,FALSE,eval
481,OQ175254,OQ175254,OQ175254,1,FALSE,eval
482,OQ175255,OQ175255,OQ175255,1,FALSE,train
489,OQ175262,OQ175262,OQ175262,1,FALSE,eval
491,OQ175264,OQ175264,OQ175264,1,FALSE,train
492,OQ175265,OQ175265,OQ175265,1,FALSE,train
493,OQ175266,OQ175266,OQ175266,1,FALSE,train
495,OQ175268,OQ175268,OQ175268,1,FALSE,train
496,OQ175269,OQ175269,OQ175269,1,FALSE,train
509,OQ175282,OQ175282,OQ175282,1,FALSE,train
510,OQ175283,OQ175283,OQ175283,1,FALSE,train
511,OQ175284,OQ175284,OQ175284,1,FALSE,train
512,OQ175285,OQ175285,OQ175285,1,FALSE,train
513,OQ175286,OQ175286,OQ175286,1,FALSE,train
514,OQ175287,OQ175287,OQ175287,1,FALSE,train
515,OQ175288,OQ175288,OQ175288,1,FALSE,train
516,OQ175289,OQ175289,OQ175289,1,FALSE,eval
518,OQ175291,OQ175291,OQ175291,1,FALSE,train
527,OQ175300,OQ175300,OQ175300,1,FALSE,train
529,OQ175302,OQ175302,OQ175302,1,FALSE,train
530,OQ175303,OQ175303,OQ175303,1,FALSE,train
531,OQ175304,OQ175304,OQ175304,1,FALSE,train
532,OQ175305,OQ175305,OQ175305,1,FALSE,eval
533,OQ175306,OQ175306,OQ175306,1,FALSE,eval
536,OQ175309,OQ175309,OQ175309,1,FALSE,train
537,OQ175310,OQ175310,OQ175310,1,FALSE,train
538,OQ175311,OQ175311,OQ175311,1,FALSE,train
539,OQ175312,OQ175312,OQ175312,1,FALSE,train
540,OQ175313,OQ175313,OQ175313,1,FALSE,eval
541,OQ175314,OQ175314,OQ175314,1,FALSE,train
543,OQ175316,OQ175316,OQ175316,1,FALSE,train
544,OQ175317,OQ175317,OQ175317,1,FALSE,train
545,OQ175318,OQ175318,OQ175318,1,FALSE,train
546,OQ175319,OQ175319,OQ175319,1,FALSE,train
547,OQ175320,OQ175320,OQ175320,1,FALSE,train
548,OQ175321,OQ175321,OQ175321,1,FALSE,eval
549,OQ175322,OQ175322,OQ175322,1,FALSE,eval
550,OQ175323,OQ175323,OQ175323,1,FALSE,train
552,OQ175325,OQ175325,OQ175325,1,FALSE,eval
554,OQ175327,OQ175327,OQ175327,1,FALSE,eval
555,OQ175328,OQ175328,OQ175328,1,FALSE,train
557,OQ175330,OQ175330,OQ175330,1,FALSE,train
558,OQ175331,OQ175331,OQ175331,1,FALSE,train
559,OQ175332,OQ175332,OQ175332,1,FALSE,eval
560,OQ175333,OQ175333,OQ175333,1,FALSE,train
561,OQ175334,OQ175334,OQ175334,1,FALSE,train
566,OQ175339,OQ175339,OQ175339,1,FALSE,train
568,OQ175341,OQ175341,OQ175341,1,FALSE,train
578,OQ939561,OQ939561,OQ939561,1,FALSE,train
583,OR233295,OR233295,OR233295,1,FALSE,test
614,OQ302146,OQ302146,OQ302146,1,FALSE,test
615,OQ305205,OQ305205,OQ305205,1,FALSE,test
616,OQ305207,OQ305207,OQ305207,1,FALSE,test
617,OQ305208,OQ305208,OQ305208,1,FALSE,test
638,OQ503495,OQ503495,OQ503495,1,FALSE,test
639,OQ503496,OQ503496,OQ503496,1,FALSE,test
640,OQ503497,OQ503497,OQ503497,1,FALSE,test
643,OQ503500,OQ503500,OQ503500,1,FALSE,test
644,OQ503501,OQ503501,OQ503501,1,FALSE,test
645,OQ503502,OQ503502,OQ503502,1,FALSE,test
646,OQ503503,OQ503503,OQ503503,1,FALSE,test
647,OQ503504,OQ503504,OQ503504,1,FALSE,test
648,OQ503505,OQ503505,OQ503505,1,FALSE,test
668,OP919651,OP919651,OP919651,1,FALSE,train
688,OQ828657,OQ828657,OQ828657,1,TRUE,test
703,OP784565,OP784565,OP784565,1,FALSE,test
722,OQ621709,OQ621709,OQ621709,1,FALSE,test
723,OQ621710,OQ621710,OQ621710,1,FALSE,test
724,OQ621711,OQ621711,OQ621711,1,FALSE,test
725,OQ621712,OQ621712,OQ621712,1,FALSE,test
726,OQ621713,OQ621713,OQ621713,1,FALSE,test
727,OQ621714,OQ621714,OQ621714,1,FALSE,test
741,OQ507475,OQ507475,OQ507475,1,FALSE,test
757,ON553962,ON553962,ON553962,1,TRUE,test
758,ON553963,ON553963,ON553963,1,TRUE,test
760,ON553965,ON553965,ON553965,1,TRUE,test
761,ON553966,ON553966,ON553966,1,TRUE,test
762,ON553967,ON553967,ON553967,1,TRUE,test
763,ON553968,ON553968,ON553968,1,TRUE,test
764,ON553969,ON553969,ON553969,1,TRUE,test
765,ON553970,ON553970,ON553970,1,TRUE,test
766,ON553971,ON553971,ON553971,1,TRUE,test
767,ON553973,ON553973,ON553973,1,TRUE,test
768,ON553974,ON553974,ON553974,1,TRUE,test
769,ON553975,ON553975,ON553975,1,TRUE,test
770,ON553976,ON553976,ON553976,1,TRUE,test
771,ON553977,ON553977,ON553977,1,TRUE,test
772,ON553978,ON553978,ON553978,1,TRUE,test
773,ON553979,ON553979,ON553979,1,TRUE,test
774,ON553980,ON553980,ON553980,1,TRUE,test
775,ON553981,ON553981,ON553981,1,TRUE,test
776,ON553982,ON553982,ON553982,1,TRUE,test
777,ON553983,ON553983,ON553983,1,TRUE,test
779,ON553985,ON553985,ON553985,1,TRUE,test
780,ON553986,ON553986,ON553986,1,TRUE,test
781,ON553987,ON553987,ON553987,1,TRUE,test
782,ON553989,ON553989,ON553989,1,TRUE,test
783,ON553990,ON553990,ON553990,1,TRUE,test
785,ON553992,ON553992,ON553992,1,TRUE,test
799,ON554007,ON554007,ON554007,1,TRUE,test
815,ON554023,ON554023,ON554023,1,TRUE,test
816,ON554024,ON554024,ON554024,1,TRUE,test
817,ON554025,ON554025,ON554025,1,TRUE,test
818,ON554026,ON554026,ON554026,1,TRUE,test
819,ON554027,ON554027,ON554027,1,TRUE,test
820,ON554028,ON554028,ON554028,1,TRUE,test
821,ON554029,ON554029,ON554029,1,TRUE,test
822,ON554030,ON554030,ON554030,1,TRUE,test
823,ON554031,ON554031,ON554031,1,TRUE,test
824,ON554032,ON554032,ON554032,1,TRUE,test
825,ON554033,ON554033,ON554033,1,TRUE,test
826,ON554034,ON554034,ON554034,1,TRUE,test
827,ON554035,ON554035,ON554035,1,TRUE,test
828,ON554036,ON554036,ON554036,1,TRUE,test
829,ON554037,ON554037,ON554037,1,TRUE,test
830,ON554038,ON554038,ON554038,1,TRUE,test
831,ON554039,ON554039,ON554039,1,TRUE,test
832,ON554040,ON554040,ON554040,1,TRUE,test
833,ON554041,ON554041,ON554041,1,TRUE,test
834,ON554042,ON554042,ON554042,1,TRUE,test
835,ON554043,ON554043,ON554043,1,TRUE,test
836,ON554044,ON554044,ON554044,1,TRUE,test
837,ON554045,ON554045,ON554045,1,TRUE,test
838,ON554046,ON554046,ON554046,1,TRUE,test
839,ON554047,ON554047,ON554047,1,TRUE,test
840,ON554048,ON554048,ON554048,1,TRUE,test
841,ON554049,ON554049,ON554049,1,TRUE,test
842,ON554050,ON554050,ON554050,1,TRUE,test
843,ON554051,ON554051,ON554051,1,TRUE,test
844,ON554052,ON554052,ON554052,1,TRUE,test
889,ON554097,ON554097,ON554097,1,TRUE,test
890,ON554098,ON554098,ON554098,1,TRUE,test
891,ON554099,ON554099,ON554099,1,TRUE,test
892,ON554100,ON554100,ON554100,1,TRUE,train
893,ON554101,ON554101,ON554101,1,TRUE,train
894,ON554102,ON554102,ON554102,1,TRUE,eval
895,ON554103,ON554103,ON554103,1,TRUE,train
896,ON554105,ON554105,ON554105,1,TRUE,train
897,ON554106,ON554106,ON554106,1,TRUE,train
898,ON554107,ON554107,ON554107,1,TRUE,train
899,ON554108,ON554108,ON554108,1,TRUE,train
900,ON554109,ON554109,ON554109,1,TRUE,train
901,ON554110,ON554110,ON554110,1,TRUE,train
902,ON554111,ON554111,ON554111,1,TRUE,train
903,ON554112,ON554112,ON554112,1,TRUE,train
904,ON554113,ON554113,ON554113,1,TRUE,train
905,ON554114,ON554114,ON554114,1,TRUE,train
906,ON554115,ON554115,ON554115,1,TRUE,train
907,ON554116,ON554116,ON554116,1,TRUE,train
908,ON554117,ON554117,ON554117,1,TRUE,train
909,ON554118,ON554118,ON554118,1,TRUE,train
910,ON554119,ON554119,ON554119,1,TRUE,train
911,ON554120,ON554120,ON554120,1,TRUE,train
912,ON554121,ON554121,ON554121,1,TRUE,train
913,ON554122,ON554122,ON554122,1,TRUE,train
914,ON554123,ON554123,ON554123,1,TRUE,eval
915,ON554124,ON554124,ON554124,1,TRUE,train
918,ON554127,ON554127,ON554127,1,TRUE,train
919,ON554128,ON554128,ON554128,1,TRUE,train
933,OQ434267,OQ434267,OQ434267,1,FALSE,test
934,OQ434268,OQ434268,OQ434268,1,FALSE,test
936,ON419876,ON419876,ON419876,1,FALSE,test
937,ON419877,ON419877,ON419877,1,FALSE,test
938,ON419878,ON419878,ON419878,1,FALSE,test
939,ON419879,ON419879,ON419879,1,FALSE,test
940,ON419880,ON419880,ON419880,1,FALSE,test
941,ON419881,ON419881,ON419881,1,FALSE,test
942,ON419882,ON419882,ON419882,1,FALSE,test
943,ON419883,ON419883,ON419883,1,FALSE,test
944,ON419885,ON419885,ON419885,1,FALSE,test
945,ON419886,ON419886,ON419886,1,FALSE,test
946,ON419887,ON419887,ON419887,1,FALSE,test
947,ON419888,ON419888,ON419888,1,FALSE,test
949,MZ221193,MZ221193,MZ221193,1,TRUE,eval
957,ON260867,ON260867,ON260867,1,FALSE,test
958,OP866274,OP866274,OP866274,1,FALSE,test
959,OP866275,OP866275,OP866275,1,FALSE,test
960,OP866276,OP866276,OP866276,1,FALSE,test
961,OP866277,OP866277,OP866277,1,FALSE,test
962,OP866278,OP866278,OP866278,1,FALSE,test
963,OP866279,OP866279,OP866279,1,FALSE,test
964,OP866280,OP866280,OP866280,1,FALSE,test
965,OP866281,OP866281,OP866281,1,FALSE,test
966,OP866282,OP866282,OP866282,1,FALSE,test
967,OP866283,OP866283,OP866283,1,FALSE,test
968,OP866284,OP866284,OP866284,1,FALSE,test
979,OQ117368,OQ117368,OQ117368,1,FALSE,test
990,OP899612,OP899612,OP899612,1,FALSE,test
991,OP899613,OP899613,OP899613,1,FALSE,test
1027,ON713866,ON713866,ON713866,1,FALSE,test
1041,OP906306,OP906306,OP906306,1,FALSE,test
1042,LC742526,LC742526,LC742526,1,FALSE,test
1060,OK649355,OK649355,OK649355,1,FALSE,test
1061,ON595853,ON595853,ON595853,1,FALSE,test
1062,ON595854,ON595854,ON595854,1,FALSE,test
1063,ON595855,ON595855,ON595855,1,FALSE,test
1064,ON595856,ON595856,ON595856,1,FALSE,test
1065,ON595857,ON595857,ON595857,1,FALSE,test
1066,ON595858,ON595858,ON595858,1,FALSE,test
1080,ON950740,ON950740,ON950740,1,FALSE,test
1085,OP700657,OP700657,OP700657,1,FALSE,test
1086,OP715780,OP715780,OP715780,1,FALSE,test
1087,OP715781,OP715781,OP715781,1,FALSE,test
1091,OP566509,OP566509,OP566509,1,FALSE,test
1095,OP712623,OP712623,OP712623,1,FALSE,test
1096,OP712624,OP712624,OP712624,1,FALSE,test
1097,OP712625,OP712625,OP712625,1,FALSE,test
1098,OP654178,OP654178,OP654178,1,FALSE,test
1099,OP654179,OP654179,OP654179,1,FALSE,test
1104,OK073075,OK073075,OK073075,1,TRUE,train
1105,OK073076,OK073076,OK073076,1,TRUE,train
1107,OK073078,OK073078,OK073078,1,TRUE,train
1112,OK073083,OK073083,OK073083,1,TRUE,eval
1113,OK073084,OK073084,OK073084,1,TRUE,train
1114,OK073085,OK073085,OK073085,1,TRUE,test
1115,OK073086,OK073086,OK073086,1,TRUE,test
1116,OK073087,OK073087,OK073087,1,TRUE,test
1117,OK073088,OK073088,OK073088,1,TRUE,test
1118,OK073089,OK073089,OK073089,1,TRUE,test
1119,OK073090,OK073090,OK073090,1,TRUE,test
1120,OK073091,OK073091,OK073091,1,TRUE,test
1122,MZ364307,MZ364307,MZ364307,1,FALSE,test
1123,MZ364308,MZ364308,MZ364308,1,FALSE,test
1124,MZ364309,MZ364309,MZ364309,1,FALSE,test
1125,MZ364310,MZ364310,MZ364310,1,FALSE,test
1126,MZ364311,MZ364311,MZ364311,1,FALSE,test
1133,OM525798,OM525798,OM525798,1,FALSE,test
1137,OM525802,OM525802,OM525802,1,FALSE,test
1138,OM525803,OM525803,OM525803,1,FALSE,test
1139,OM525804,OM525804,OM525804,1,FALSE,test
1140,OM525805,OM525805,OM525805,1,FALSE,test
1141,OM525806,OM525806,OM525806,1,FALSE,test
1142,MZ380292,MZ380292,MZ380292,1,FALSE,test
1147,LC706864,LC706864,LC706864,1,FALSE,test
1148,LC706865,LC706865,LC706865,1,FALSE,test
1149,OP191700,OP191700,OP191700,1,FALSE,test
1166,MW804449,MW804449,MW804449,1,FALSE,test
1170,OP296992,OP296992,OP296992,1,FALSE,test
1182,ON453890,ON453890,ON453890,1,FALSE,test
1190,MZ388469,MZ388469,MZ388469,1,FALSE,test
1191,MZ388470,MZ388470,MZ388470,1,FALSE,test
1192,MZ388471,MZ388471,MZ388471,1,FALSE,test
1193,MZ388472,MZ388472,MZ388472,1,FALSE,test
1196,MZ604716,MZ604716,MZ604716,1,FALSE,test
1240,MW559057,MW559057,MW559057,1,TRUE,test
1241,ON146444,ON146444,ON146444,1,FALSE,test
1242,ON325306,ON325306,ON325306,1,FALSE,test
1258,MZ293732,MZ293732,MZ293732,1,FALSE,train
1259,MZ293733,MZ293733,MZ293733,1,FALSE,train
1260,MZ293734,MZ293734,MZ293734,1,FALSE,train
1261,MZ293735,MZ293735,MZ293735,1,FALSE,train
1262,MZ293736,MZ293736,MZ293736,1,FALSE,eval
1263,MZ293739,MZ293739,MZ293739,1,FALSE,test
1264,MZ293740,MZ293740,MZ293740,1,FALSE,train
1265,MZ293741,MZ293741,MZ293741,1,FALSE,train
1266,MZ293742,MZ293742,MZ293742,1,FALSE,train
1267,MZ293743,MZ293743,MZ293743,1,FALSE,train
1268,MZ293745,MZ293745,MZ293745,1,FALSE,eval
1269,MZ293746,MZ293746,MZ293746,1,FALSE,train
1270,MZ293747,MZ293747,MZ293747,1,FALSE,eval
1271,MZ293748,MZ293748,MZ293748,1,FALSE,train
1272,MZ293749,MZ293749,MZ293749,1,FALSE,train
1273,MZ293750,MZ293750,MZ293750,1,FALSE,eval
1274,MZ293751,MZ293751,MZ293751,1,FALSE,train
1275,MZ293752,MZ293752,MZ293752,1,FALSE,test
1276,MZ293753,MZ293753,MZ293753,1,FALSE,test
1277,MZ293754,MZ293754,MZ293754,1,FALSE,test
1278,MZ293755,MZ293755,MZ293755,1,FALSE,test
1279,MZ293756,MZ293756,MZ293756,1,FALSE,test
1280,MZ293757,MZ293757,MZ293757,1,FALSE,train
1297,LC710779,LC710779,LC710779,1,FALSE,test
1310,MW308128,MW308128,MW308128,1,FALSE,test
1322,OM030318,OM030318,OM030318,1,FALSE,test
1323,OM994417,OM994417,OM994417,1,FALSE,test
1385,MZ772936,MZ772936,MZ772936,1,FALSE,test
1388,MT984583,MT984583,MT984583,1,FALSE,test
1389,MT984584,MT984584,MT984584,1,FALSE,test
1390,MT984585,MT984585,MT984585,1,FALSE,test
1391,MT984586,MT984586,MT984586,1,FALSE,test
1392,MT984587,MT984587,MT984587,1,FALSE,test
1393,MT984588,MT984588,MT984588,1,FALSE,test
1394,MT984589,MT984589,MT984589,1,FALSE,test
1395,MT984590,MT984590,MT984590,1,FALSE,test
1396,MT984591,MT984591,MT984591,1,FALSE,test
1397,MT984592,MT984592,MT984592,1,FALSE,test
1398,MT984593,MT984593,MT984593,1,FALSE,test
1399,MT984594,MT984594,MT984594,1,FALSE,test
1400,MT984595,MT984595,MT984595,1,FALSE,test
1401,MT984596,MT984596,MT984596,1,FALSE,test
1402,MT984597,MT984597,MT984597,1,FALSE,test
1403,MT984598,MT984598,MT984598,1,FALSE,test
1404,MT984599,MT984599,MT984599,1,FALSE,test
1405,MT984600,MT984600,MT984600,1,FALSE,test
1406,MT984601,MT984601,MT984601,1,FALSE,test
1407,MT984602,MT984602,MT984602,1,FALSE,test
1420,MZ342899,MZ342899,MZ342899,1,FALSE,test
1423,MZ802772,MZ802772,MZ802772,1,FALSE,test
1424,MZ802773,MZ802773,MZ802773,1,FALSE,test
1425,MZ802774,MZ802774,MZ802774,1,FALSE,test
1426,MZ802775,MZ802775,MZ802775,1,FALSE,test
1427,MZ802776,MZ802776,MZ802776,1,FALSE,test
1428,MZ802777,MZ802777,MZ802777,1,FALSE,test
1433,MK972911,MK972911,MK972911,1,FALSE,test
1438,MK990809,MK990809,MK990809,1,FALSE,test
1439,MK990810,MK990810,MK990810,1,FALSE,test
1464,OL622035,OL622035,OL622035,1,TRUE,test
1470,OL674075,OL674075,OL674075,1,FALSE,test
1471,OL674076,OL674076,OL674076,1,FALSE,test
1472,OL674077,OL674077,OL674077,1,FALSE,test
1473,OL674078,OL674078,OL674078,1,FALSE,test
1474,OL674079,OL674079,OL674079,1,FALSE,test
1475,OL674080,OL674080,OL674080,1,FALSE,test
1476,OL674081,OL674081,OL674081,1,FALSE,test
